Data loaded!
Total unique citation sentences: 58405093
Processing chunk 5 (50000000 to 58405093)
[7718400/8405093] Processed: 7,718,784 | Elapsed: 300.39 min | ETA: 26.71 min
[7756800/8405093] Processed: 7,757,184 | Elapsed: 301.89 min | ETA: 25.21 min
[7795200/8405093] Processed: 7,795,584 | Elapsed: 303.38 min | ETA: 23.72 min
[7833600/8405093] Processed: 7,833,984 | Elapsed: 304.86 min | ETA: 22.22 min
[7872000/8405093] Processed: 7,872,384 | Elapsed: 306.33 min | ETA: 20.73 min
[7910400/8405093] Processed: 7,910,784 | Elapsed: 307.82 min | ETA: 19.23 min
[7948800/8405093] Processed: 7,949,184 | Elapsed: 309.31 min | ETA: 17.74 min
[7987200/8405093] Processed: 7,987,584 | Elapsed: 310.79 min | ETA: 16.24 min
[8025600/8405093] Processed: 8,025,984 | Elapsed: 312.28 min | ETA: 14.75 min
[8064000/8405093] Processed: 8,064,384 | Elapsed: 313.77 min | ETA: 13.26 min
[8102400/8405093] Processed: 8,102,784 | Elapsed: 315.26 min | ETA: 11.76 min
[8140800/8405093] Processed: 8,141,184 | Elapsed: 316.76 min | ETA: 10.27 min
[8179200/8405093] Processed: 8,179,584 | Elapsed: 318.24 min | ETA: 8.77 min
[8217600/8405093] Processed: 8,217,984 | Elapsed: 319.73 min | ETA: 7.28 min
[8256000/8405093] Processed: 8,256,384 | Elapsed: 321.22 min | ETA: 5.79 min
[8294400/8405093] Processed: 8,294,784 | Elapsed: 322.72 min | ETA: 4.29 min
[8332800/8405093] Processed: 8,333,184 | Elapsed: 324.21 min | ETA: 2.80 min
[8371200/8405093] Processed: 8,371,584 | Elapsed: 325.70 min | ETA: 1.30 min
All chunks processed
