timestamp, name, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2025/04/04 15:02:59.049, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 15:03:59.050, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:04:59.050, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
2025/04/04 15:05:59.050, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:06:59.050, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:07:59.051, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:08:59.051, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:09:59.051, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:10:59.052, NVIDIA A10, 0, 87 %, 3351 MiB, 23028 MiB
2025/04/04 15:11:59.052, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:12:59.052, NVIDIA A10, 0, 94 %, 3351 MiB, 23028 MiB
2025/04/04 15:13:59.052, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 15:14:59.053, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:15:59.053, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:16:59.053, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:17:59.053, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:18:59.054, NVIDIA A10, 0, 89 %, 3351 MiB, 23028 MiB
2025/04/04 15:19:59.054, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:20:59.054, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:21:59.054, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:22:59.055, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:23:59.055, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:24:59.055, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 15:25:59.055, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:26:59.055, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
2025/04/04 15:27:59.056, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:28:59.056, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:29:59.056, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:30:59.057, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:31:59.057, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 15:32:59.057, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:33:59.057, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:34:59.057, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:35:59.057, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:36:59.057, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 15:37:59.057, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:38:59.058, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:39:59.058, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:40:59.058, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:41:59.058, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 15:42:59.059, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 15:43:59.059, NVIDIA A10, 0, 87 %, 3351 MiB, 23028 MiB
2025/04/04 15:44:59.059, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:45:59.059, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:46:59.059, NVIDIA A10, 0, 95 %, 3351 MiB, 23028 MiB
2025/04/04 15:47:59.060, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:48:59.060, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:49:59.060, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:50:59.060, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:51:59.061, NVIDIA A10, 0, 94 %, 3351 MiB, 23028 MiB
2025/04/04 15:52:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:53:59.061, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 15:54:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:55:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:56:59.060, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:57:59.061, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 15:58:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 15:59:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:00:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:01:59.062, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:02:59.062, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:03:59.062, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:04:59.062, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:05:59.063, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:06:59.062, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:07:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:08:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:09:59.060, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:10:59.061, NVIDIA A10, 0, 98 %, 3351 MiB, 23028 MiB
2025/04/04 16:11:59.060, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:12:59.059, NVIDIA A10, 0, 96 %, 3351 MiB, 23028 MiB
2025/04/04 16:13:59.059, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
2025/04/04 16:14:59.058, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:15:59.059, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:16:59.059, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:17:59.059, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:18:59.060, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 16:19:59.060, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:20:59.060, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:21:59.060, NVIDIA A10, 0, 97 %, 3351 MiB, 23028 MiB
2025/04/04 16:22:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:23:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:24:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:25:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:26:59.061, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 16:27:59.061, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
2025/04/04 16:28:59.062, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 16:29:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:30:59.061, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
